FECHA_ACCIDENTE,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento
2015-06-15,10,7,37,0,17,3
2015-06-16,10,10,102,0,6,4
2015-06-17,18,7,77,0,9,9
2015-06-18,14,9,80,0,10,3
2015-06-19,15,13,102,0,14,2
2015-06-20,13,20,75,0,8,5
2015-06-21,7,10,49,0,7,4
2015-06-22,7,13,71,0,8,2
2015-06-23,16,15,83,0,2,4
2015-06-24,13,6,98,0,13,2
2015-06-25,12,10,68,0,8,5
2015-06-26,15,17,84,0,9,6
2015-06-27,21,10,76,0,9,4
2015-06-28,7,1,30,0,5,0
2015-06-29,10,8,42,0,6,5
2015-06-30,13,7,99,0,8,8
2015-07-01,11,10,89,0,9,2
2015-07-02,12,9,85,0,10,2
2015-07-03,14,3,80,0,13,3
2015-07-04,22,11,75,0,8,6
2015-07-05,11,4,54,0,6,5
2015-07-06,11,22,95,0,7,9
2015-07-07,19,15,91,0,12,3
2015-07-08,12,9,94,0,18,12
2015-07-09,15,10,91,0,8,10
2015-07-10,19,4,86,0,16,7
2015-07-11,11,11,78,0,11,5
2015-07-12,14,9,56,0,18,5
2015-07-13,8,13,98,0,18,7
2015-07-14,10,15,93,0,16,6
2015-07-15,15,8,88,0,34,11
2015-07-16,9,6,90,0,14,10
2015-07-17,16,9,108,0,12,5
2015-07-18,18,10,82,0,9,10
2015-07-19,10,12,37,0,12,7
2015-07-20,14,6,47,0,6,8
2015-07-21,7,11,108,0,9,3
2015-07-22,10,13,78,0,10,3
2015-07-23,11,4,89,0,15,4
2015-07-24,13,12,86,0,15,3
2015-07-25,16,6,90,0,16,2
2015-07-26,9,8,46,0,10,2
2015-07-27,11,14,101,0,11,2
2015-07-28,6,12,106,0,9,9
2015-07-29,19,12,100,0,21,2
2015-07-30,10,15,87,0,16,4
2015-07-31,13,7,106,0,7,3
2015-08-01,18,5,80,0,11,5
2015-08-02,14,9,63,0,10,6
2015-08-03,10,18,118,0,4,3
2015-08-04,6,9,104,0,14,13
2015-08-05,14,13,112,0,9,3
2015-08-06,16,6,106,0,14,3
2015-08-07,10,10,63,0,10,8
2015-08-08,15,25,90,0,7,2
2015-08-09,15,7,53,0,5,3
2015-08-10,10,15,90,0,11,3
2015-08-11,12,14,92,0,10,4
2015-08-12,19,2,69,0,13,6
2015-08-13,12,13,83,0,11,5
2015-08-14,10,7,114,0,13,7
2015-08-15,16,12,94,0,12,3
2015-08-16,10,17,48,0,16,6
2015-08-17,9,7,46,0,13,4
2015-08-18,12,21,117,0,27,14
2015-08-19,15,9,78,0,10,3
2015-08-20,9,15,89,0,10,6
2015-08-21,5,8,86,0,10,8
2015-08-22,9,13,65,0,6,3
2015-08-23,7,11,38,0,14,2
2015-08-24,12,16,87,0,34,5
2015-08-25,10,16,81,0,10,3
2015-08-26,8,11,92,0,15,5
2015-08-27,20,10,75,0,22,5
2015-08-28,23,24,121,0,19,4
2015-08-29,17,11,96,0,8,6
2015-08-30,11,9,48,0,16,4
2015-08-31,11,20,79,0,11,6
2015-09-01,12,12,98,0,11,4
2015-09-02,10,10,100,0,11,7
2015-09-03,14,10,104,0,12,2
2015-09-04,15,13,112,0,9,5
2015-09-05,16,4,90,0,6,1
2015-09-06,13,4,52,0,20,7
2015-09-07,10,17,102,0,8,5
2015-09-08,13,5,78,0,12,3
2015-09-09,14,7,99,0,13,4
2015-09-10,21,23,81,0,18,12
2015-09-11,9,13,115,0,22,6
2015-09-12,16,9,87,0,12,8
2015-09-13,14,6,59,0,19,4
2015-09-14,19,11,109,0,19,2
2015-09-15,13,10,87,0,8,6
2015-09-16,12,10,99,0,14,3
2015-09-17,13,16,109,0,24,3
2015-09-18,17,15,106,0,16,9
2015-09-19,14,9,92,0,12,4
