FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_DIARIOS
2020-03-25,2020,3,3,13,0,0,0,0,85.28992460317458
2020-03-26,2020,4,3,13,0,0,0,0,83.66583333333334
2020-03-27,2020,5,3,13,0,0,0,0,96.1775
2020-03-28,2020,6,3,13,0,0,0,0,61.091833333333334
2020-03-29,2020,7,3,13,0,0,0,0,42.27333333333333
2020-03-30,2020,1,3,14,0,0,0,0,91.34450000000001
2020-03-31,2020,2,3,14,0,0,0,0,77.40059523809522
2020-04-01,2020,3,4,14,0,0,0,0,86.7990119047619
2020-04-02,2020,4,4,14,0,0,0,0,94.98850000000002
2020-04-03,2020,5,4,14,0,0,0,0,112.75911904761907
2020-04-04,2020,6,4,14,0,0,0,0,75.92307936507936
2020-04-05,2020,7,4,14,0,0,0,0,43.40761507936509
2020-04-06,2020,1,4,15,0,0,0,0,96.82120634920635
2020-04-07,2020,2,4,15,0,0,0,0,87.10702380952378
2020-04-08,2020,3,4,15,0,0,0,0,95.81071031746032
2020-04-09,2020,4,4,15,1,0,0,0,31.92
2020-04-10,2020,5,4,15,1,0,0,0,22.51
2020-04-11,2020,6,4,15,0,0,0,0,74.42718650793648
2020-04-12,2020,7,4,15,0,0,0,0,41.75763492063493
2020-04-13,2020,1,4,16,0,0,0,0,97.18638888888889
2020-04-14,2020,2,4,16,0,0,0,0,81.56734523809521
2020-04-15,2020,3,4,16,0,0,0,0,81.2030634920635
2020-04-16,2020,4,4,16,0,0,0,0,91.26505880230881
2020-04-17,2020,5,4,16,0,0,0,0,79.58769047619049
2020-04-18,2020,6,4,16,0,0,0,0,86.53130952380953
2020-04-19,2020,7,4,16,0,0,0,0,47.36925793650795
2020-04-20,2020,1,4,17,0,0,0,0,101.48192857142858
2020-04-21,2020,2,4,17,0,0,0,0,88.67795238095238
2020-04-22,2020,3,4,17,0,0,0,0,96.72505952380953
2020-04-23,2020,4,4,17,0,0,0,0,98.71319047619046
2020-04-24,2020,5,4,17,0,0,0,0,106.87279761904762
2020-04-25,2020,6,4,17,0,0,0,0,82.88565692640694
2020-04-26,2020,7,4,17,0,0,0,0,50.101543650793666
2020-04-27,2020,1,4,18,0,0,0,0,96.03430952380954
2020-04-28,2020,2,4,18,0,0,0,0,98.60869047619047
2020-04-29,2020,3,4,18,0,0,0,0,97.61766666666666
2020-04-30,2020,4,4,18,0,0,0,0,100.56145238095237
2020-05-01,2020,5,5,18,1,0,0,0,49.17
2020-05-02,2020,6,5,18,0,0,0,0,92.88115384615381
2020-05-03,2020,7,5,18,0,0,0,0,42.85503354978354
2020-05-04,2020,1,5,19,0,0,0,0,81.38364285714285
2020-05-05,2020,2,5,19,0,0,0,0,87.0719166666667
2020-05-06,2020,3,5,19,0,0,0,0,84.53502777777777
2020-05-07,2020,4,5,19,0,0,0,0,91.45241269841269
2020-05-08,2020,5,5,19,0,0,0,0,102.57764682539683
2020-05-09,2020,6,5,19,0,0,0,0,90.17080952380951
2020-05-10,2020,7,5,19,0,1,0,0,64.92257142857143
2020-05-11,2020,1,5,20,0,0,0,0,99.5886904761905
2020-05-12,2020,2,5,20,0,0,0,0,104.36697619047614
2020-05-13,2020,3,5,20,0,0,0,0,87.37156349206353
2020-05-14,2020,4,5,20,0,0,0,0,93.00052380952386
2020-05-15,2020,5,5,20,0,0,0,0,100.1824136141636
2020-05-16,2020,6,5,20,0,0,0,0,91.39746825396821
2020-05-17,2020,7,5,20,0,0,0,0,41.98130189255189
2020-05-18,2020,1,5,21,0,0,0,0,90.19507142857142
2020-05-19,2020,2,5,21,0,0,0,0,99.83131349206346
2020-05-20,2020,3,5,21,0,0,0,0,89.60515476190477
2020-05-21,2020,4,5,21,0,0,0,0,85.61322222222223
2020-05-22,2020,5,5,21,0,0,0,0,95.96067857142856
2020-05-23,2020,6,5,21,0,0,0,0,73.88896825396826
2020-05-24,2020,7,5,21,0,0,0,0,43.73474963924964
2020-05-25,2020,1,5,22,1,0,0,0,43.51495238095237
2020-05-26,2020,2,5,22,0,0,0,0,76.222404040404
2020-05-27,2020,3,5,22,0,0,0,0,86.28839285714287
2020-05-28,2020,4,5,22,0,0,0,0,77.0833888888889
2020-05-29,2020,5,5,22,0,0,0,0,92.26251190476191
2020-05-30,2020,6,5,22,0,0,0,0,91.87863888888889
2020-05-31,2020,7,5,22,0,0,0,0,50.00078571428572
